threshold,基金管理人简称,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,threshold_rank
0.1,安信基金,9,5,5,0.5555555555555556,0.26665129349549305,0.8112214789023355,-0.0009191461349110917,0.00046568744467793337,33.0
0.1,万家基金,12,4,6,0.5,0.2537815976337061,0.7462184023662939,-1.678711998269611e-05,0.002425542586681854,34.0
0.1,恒越基金,7,1,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,0.005536388368560242,0.00203703149085708,35.0
0.1,华富基金,7,1,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,0.0034691446482840627,0.0006951112285171734,36.0
0.1,长信基金,24,7,10,0.4166666666666667,0.24467602609811764,0.6116533413477124,-0.001688807114259677,-0.002076749369345333,37.0
0.1,东海基金,10,2,5,0.5,0.236593090512564,0.7634069094874361,0.0038640524691844398,-0.00015366134095695934,38.0
0.1,国泰基金,35,11,13,0.37142857142857144,0.2316581950336571,0.5366306315640468,-0.0033128773243864752,-0.0015089253641775158,39.0
0.1,中信保诚基金,16,7,7,0.4375,0.23098652405492354,0.6682144360118811,0.010770711575559255,-0.001377850185048812,40.0
0.1,宝盈基金,5,3,3,0.6,0.2307242812760128,0.882379225767352,0.006242099012767834,0.007877326522315639,41.0
0.1,浦银安盛基金,5,1,3,0.6,0.2307242812760128,0.882379225767352,0.003471082594630781,0.0012511075753516292,42.0
0.1,中加基金,3,1,2,0.6666666666666666,0.2076596008020477,0.9385080552796037,0.015054255845478157,0.005144929091863044,43.0
0.1,诺安基金,3,1,2,0.6666666666666666,0.2076596008020477,0.9385080552796037,0.013792713594010707,0.0065274732800096776,44.0
0.1,兴证资管,3,1,2,0.6666666666666666,0.2076596008020477,0.9385080552796037,0.0007055383533417555,0.004755245686892827,45.0
0.1,中金基金,3,1,2,0.6666666666666666,0.2076596008020477,0.9385080552796037,-0.01341064291380979,0.0011492121673352606,46.0
0.1,银华基金,21,5,8,0.38095238095238093,0.20751011368564493,0.5912134622488425,-0.0009497772643026336,-0.0020010905671458616,47.0
0.1,国海富兰克林基金,1,1,1,1.0,0.20654931437723745,1.0,0.012846184424987321,0.012846184424987321,48.0
0.1,弘毅远方基金,1,1,1,1.0,0.20654931437723745,1.0,0.004806800436643139,0.004806800436643139,49.0
0.1,泰信基金,1,1,1,1.0,0.20654931437723745,1.0,0.0024175276307496847,0.0024175276307496847,50.0
0.1,博道基金,1,1,1,1.0,0.20654931437723745,1.0,0.0008303668436630588,0.0008303668436630588,51.0
0.1,摩根基金(中国),18,3,7,0.3888888888888889,0.2030524657216362,0.613809583977621,-0.0074591932274056015,-0.0008214108209225269,52.0
0.1,国投瑞银基金,12,3,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,0.0003656370361794922,-0.0022676309804694475,53.0
0.1,永赢基金,9,2,4,0.4444444444444444,0.18877852109766452,0.733348706504507,0.0016579636382498377,-0.0009583417789250045,54.0
0.1,鹏扬基金,6,3,3,0.5,0.1876163064826506,0.8123836935173494,0.0027638275446581675,0.00035336060231856643,55.0
0.1,工银瑞信基金,16,5,6,0.375,0.18481232558863633,0.6135895945449727,-0.002724287449828684,-0.00064408610700262,56.0
0.1,融通基金,13,6,5,0.38461538461538464,0.17709707797762575,0.6447710848733431,0.0014012314293075047,-0.0013631598989581975,57.0
0.1,中欧基金,22,6,7,0.3181818181818182,0.1636059318135624,0.5268140225895723,-0.004832930408260682,-0.0030148834079787292,58.0
0.1,宏利基金,7,2,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,-0.007801620763881077,-0.0011143049741409769,59.0
0.1,财通资管,11,5,4,0.36363636363636365,0.15166471095367573,0.6461988254921511,0.0017289215466700632,-0.0011985455452359142,60.0
0.1,红塔红土,4,2,2,0.5,0.15003898915214947,0.8499610108478506,0.007115294840696575,-8.064165404772982e-05,61.0
0.1,华泰保兴基金,4,1,2,0.5,0.15003898915214947,0.8499610108478506,0.0022746983511386498,-0.002215524283532164,62.0
0.1,泰康基金,4,3,2,0.5,0.15003898915214947,0.8499610108478506,-9.451512972241823e-05,0.0020331570995312472,63.0
0.1,国新国证基金,4,1,2,0.5,0.15003898915214947,0.8499610108478506,-0.0006072710112812894,-5.455556037742222e-05,64.0
0.1,兴银基金管理,4,2,2,0.5,0.15003898915214947,0.8499610108478506,-0.00648906522769446,0.003595545499249486,65.0
0.1,银河基金,8,2,3,0.375,0.13684428582359742,0.6942576053973727,-0.0032221656879721657,-0.0011105828528620372,66.0
0.1,大成基金,8,6,3,0.375,0.13684428582359742,0.6942576053973727,-0.005581669498951529,-0.002806767221230758,67.0
0.1,汇添富基金,13,5,4,0.3076923076923077,0.12680703655710515,0.5763065681945096,-0.003147735331854825,-0.0009175807075205868,68.0
0.1,华安基金,13,4,4,0.3076923076923077,0.12680703655710515,0.5763065681945096,-0.004710384734245974,-0.003442738930637613,69.0
0.1,兴证全球基金,14,4,4,0.2857142857142857,0.11721378644576919,0.5464908432989318,-0.004281144918436923,-0.0012994229520710576,70.0
0.1,创金合信基金,2,1,1,0.5,0.09453120573423074,0.9054687942657693,0.0029157629167395277,0.0029157629167395277,71.0
0.1,同泰基金,2,1,1,0.5,0.09453120573423074,0.9054687942657693,-0.0007043764057061922,-0.0007043764057061922,72.0
0.1,富安达基金,2,1,1,0.5,0.09453120573423074,0.9054687942657693,-0.00770452346570267,-0.00770452346570267,73.0
0.1,新华基金,8,2,2,0.25,0.071479212752109,0.5907245696898311,-0.006575423632748646,-0.01017009820110852,74.0
0.1,东方基金,9,4,2,0.2222222222222222,0.06322510711784671,0.5474110308930111,-0.008418434276906576,-0.0031208415950515194,75.0
0.1,东吴基金,3,1,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.0034993466993176897,-0.0070076874495431495,76.0
0.1,上银基金,3,2,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.0016933647840601535,-0.0014716390457374174,77.0
0.1,合煦智远基金,3,1,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.0027889686729467636,-0.0006146470626760875,78.0
0.1,建信基金,3,1,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.0036485138840906066,-0.007354947011705639,79.0
