基金主代码,基金名称,基金管理人简称,投资风格,annualized_evaluation_pool,return_quarter_count,return_period_start,return_period_end,contribution_evaluation_pool,contribution_quarter_count,latest_valid_nav_yuan,annualized_fund_return,annualized_csi300_return,annualized_bond_return,annualized_three_asset_benchmark_return,annualized_loo_peer_return,annualized_excess_vs_three_asset,annualized_excess_vs_loo_peer,significant_switch_count,significant_switch_coverage,cumulative_active_allocation_contribution,annualized_active_allocation_contribution,annualized_excess_positive,annualized_allocation_contribution_positive
017079.OF,格林鑫利六个月持有期混合A,格林基金,收入型,年化观察池,6,2023Q3,2025Q4,贡献观察池,6,101840000.0,,,,,,,,5,0.8333333333333334,-0.046224093331408866,,,
017265.OF,招商瑞成1年持有期混合A,招商基金,收入型,正式年化,10,2023Q3,2026Q1,正式贡献,10,56010000.00000001,0.07257865360066207,0.13686126953656363,0.03511768329858023,0.06501557947249337,0.044570450776392656,0.007563074128168701,0.028008202824269413,3,0.3,-0.017384970061475213,-0.00699059661553314,True,False
017298.OF,汇添富添添鑫多元收益9个月持有混合A,汇添富基金,收入型,年化观察池,7,2024Q1,2026Q1,正式贡献,10,61050000.00000001,,,,,,,,6,0.6,0.03345283672972377,0.013249188698605474,,True
017454.OF,国泰慧益一年持有混合A,国泰基金,收入型,正式年化,9,2023Q4,2026Q1,正式贡献,9,64499999.99999999,0.06395824599281763,0.19100297648494924,0.032693501833271466,0.046775334373155175,0.05409201923859386,0.017182911619662455,0.009866226754223772,3,0.3333333333333333,-0.01505494768269744,-0.006719290075541506,True,False
017568.OF,华夏稳茂增益一年持有混合A,华夏基金,收入型,正式年化,9,2023Q3,2026Q1,正式贡献,11,42170000.0,0.04293232733294361,0.1499204990459979,0.052236233650102326,0.06052950450398309,0.053596437402068764,-0.01759717717103948,-0.010664110069125154,7,0.6363636363636364,-0.05508583148701751,-0.020393252971954712,False,False
017575.OF,华夏稳兴增益一年持有混合A,华夏基金,收入型,正式年化,9,2023Q3,2026Q1,正式贡献,10,46300000.0,0.034490776534961354,0.14680780123599635,0.03145836246589062,0.05082824193419788,0.045585135984837155,-0.016337465399236528,-0.011094359449875801,6,0.6,-0.00825861887380519,-0.003311668368232379,False,False
017912.OF,华夏稳进增益一年持有混合A,华夏基金,收入型,年化观察池,5,2023Q4,2026Q1,正式贡献,9,25010000.0,,,,,,,,5,0.5555555555555556,-0.03570870647600566,-0.016030940395837967,,False
018212.OF,兴银稳惠180天持有期混合A,兴银基金管理,收入型,正式年化,10,2023Q2,2026Q1,正式贡献,11,56580000.0,0.05142059464004767,0.03336847769959461,0.04635861189060275,0.049384399289109204,0.02265894456019546,0.0020361953509384634,0.028761650079852208,6,0.5454545454545454,-0.030632906053919995,-0.011249662453253095,True,False
018465.OF,嘉实稳健添翼一年持有混合A,嘉实基金,收入型,正式年化,9,2023Q3,2026Q1,正式贡献,10,416920000.0,0.032989845159800524,0.1472194224580714,0.036162373342931264,0.044267423266998396,0.04698429212363542,-0.011277578107197872,-0.013994446963834895,5,0.5,-0.00885783159455189,-0.0035525927169673954,False,False
018620.OF,兴全兴晨六个月持有混合A,兴证全球基金,收入型,正式年化,9,2023Q4,2026Q1,正式贡献,10,2270860000.0,0.03254620148888043,0.19100297648494924,0.032693501833271466,0.05018565848276224,0.05465021182122065,-0.017639456993881808,-0.022104010332340218,8,0.8,-0.007061806655937697,-0.0028307295985759984,False,False
018626.OF,富国兴享回报6个月持有期混合A,富国基金,收入型,正式年化,11,2023Q3,2026Q1,正式贡献,10,37820000.0,0.08250770315153,0.1151903547976707,0.04224296546238837,0.05342612330543184,0.04532267567369486,0.02908157984609816,0.03718502747783514,6,0.6,-0.021991639245336425,-0.008855382144042134,True,False
019146.OF,农银均衡优选混合A,农银汇理基金,平衡型,年化观察池,0,,,贡献观察池,6,53080000.00000001,,,,,,,,4,0.6666666666666666,0.05592871806830413,,,
019698.OF,招商安泽稳利9个月持有期混合A,招商基金,收入型,年化观察池,7,2024Q1,2026Q1,正式贡献,8,2163890000.0,,,,,,,,4,0.5,0.01562430584619956,0.0077818741405302205,,True
020005.OF,国泰金马稳健回报混合A,国泰基金,成长型,正式年化,8,2023Q2,2026Q1,贡献观察池,6,685440000.0,0.1381638649671144,0.06396623474800256,0.05111168541067679,0.031374724417836175,0.03540093791534615,0.10678914054927824,0.10276292705176826,3,0.5,-0.05383410167329472,,True,
020147.OF,兴银价值平衡混合A,兴银基金管理,平衡型,年化观察池,0,,,贡献观察池,7,53950000.0,,,,,,,,5,0.7142857142857143,0.03074082688602564,,,
020600.OF,国寿安保景气优选混合发起式A,国寿安保基金,成长型,正式年化,9,2024Q1,2026Q1,正式贡献,8,29740000.0,0.4495238729192188,0.164108920040543,0.03628616625386183,0.13916674984633648,0.09596461357562691,0.3103571230728823,0.3535592593435919,2,0.25,0.02997893960265996,0.014878780743128983,True,True
020864.OF,银华嘉选平衡混合发起式A,银华基金,成长型,年化观察池,6,2024Q3,2026Q1,贡献观察池,6,13310000.0,,,,,,,,5,0.8333333333333334,-0.015419235326313951,,,
021247.OF,兴全红利混合A,兴证全球基金,成长型,年化观察池,6,2024Q4,2026Q1,贡献观察池,6,444240000.0,,,,,,,,1,0.16666666666666666,-0.002069253109448721,,,
