基金管理人简称,evaluation_pool,credibility_grade,formal_rank,annualized_valid_fund_count,active_contribution_valid_fund_count,median_annualized_fund_return,equal_weight_annualized_fund_return,nav_weighted_annualized_fund_return,median_annualized_three_asset_benchmark_return,median_annualized_excess_vs_three_asset,median_annualized_excess_vs_loo_peer,median_annualized_active_allocation_contribution,annualized_excess_positive_fund_ratio,active_contribution_positive_fund_ratio
金鹰基金,观察池,观察池,,4,4,0.06629442347666159,0.05104176917267922,0.054029176929736654,0.06173073595922529,-0.0014127591964052666,0.012531454842360845,0.008252479324086903,0.5,0.75
交银施罗德基金,观察池,观察池,,5,5,0.05337532571797232,0.30188613810954623,0.7192770825052144,0.05862823604168965,-0.0020779553096237358,0.0012481347027115675,2.45208376044026e-05,0.4,0.6
东方红资产管理,观察池,观察池,,3,4,0.023814880935973504,0.04164153339718283,0.02286636703234509,0.04387170310517963,-0.002767734691109913,0.006768123241489343,-0.0024416531640490957,0.3333333333333333,0.5
东海基金,观察池,观察池,,2,2,0.023057100746692982,0.023057100746692982,0.023450568317538185,0.030468667501589275,-0.007411566754896293,-0.030937694620060685,0.005559490861821947,0.5,0.5
博道基金,观察池,观察池,,1,1,0.034909921887340545,0.034909921887340545,0.034909921887340545,0.04482317470879216,-0.009913252821451612,0.0029671854425157296,-0.008734244420428694,0.0,0.0
尚正基金,观察池,观察池,,1,1,0.01996985009873109,0.01996985009873109,0.01996985009873109,0.030007918844082715,-0.010038068745351625,-0.0028204632164894328,-0.01232064160491475,0.0,0.0
嘉实基金,观察池,观察池,,1,2,0.032989845159800524,0.032989845159800524,0.032989845159800524,0.044267423266998396,-0.011277578107197872,-0.013994446963834895,-0.01095322202414295,0.0,0.0
红土创新基金,观察池,观察池,,1,2,0.03435018376242849,0.03435018376242849,0.03435018376242849,0.04571977893063761,-0.011369595168209123,0.006752432437415745,-0.011731360656326462,0.0,0.0
弘毅远方基金,观察池,观察池,,1,1,0.007530325674711458,0.007530325674711458,0.007530325674711458,0.019404558940099736,-0.011874233265388279,-0.017133619312430737,-0.005386670790291537,0.0,0.0
安信基金,观察池,观察池,,3,4,0.01823825969750681,0.021424293223438307,0.027785938324996106,0.030545117826113133,-0.012306858128606324,-0.07054561205101262,0.0017856454693038204,0.3333333333333333,0.75
东吴基金,观察池,观察池,,1,1,0.05319840809057297,0.05319840809057297,0.05319840809057297,0.06551120117787712,-0.012312793087304152,3.762013449892798e-05,0.00260980079367501,0.0,1.0
兴证全球基金,观察池,观察池,,3,3,0.03254620148888043,0.032329238500720926,0.03170965209130786,0.042618509290215156,-0.017639456993881808,-0.016983945199570583,-0.0028307295985759984,0.3333333333333333,0.0
前海开源基金,观察池,观察池,,2,2,0.03434169924882868,0.03434169924882868,0.017908245062907842,0.05270767969534729,-0.018365980446518604,-0.011875096845636146,0.00844686049332044,0.0,1.0
长盛基金,观察池,观察池,,2,5,0.014045598426652595,0.014045598426652595,-0.0049393468230357505,0.032780393576121836,-0.01873479514946924,-0.028649420482368126,0.007706094954538001,0.5,0.8
天弘基金,观察池,观察池,,5,5,0.02020806535606212,0.037413265554843186,0.07706136855708783,0.05105716154340589,-0.01908834515506297,-0.039481917650528775,-0.0009511105654380625,0.2,0.4
创金合信基金,观察池,观察池,,1,1,0.04608504800125757,0.04608504800125757,0.04608504800125757,0.06531457104180705,-0.01922952304054948,-0.03770212814207108,0.006370875735125292,0.0,1.0
海富通基金,观察池,观察池,,3,3,0.02741796242302552,-0.007201314629707929,0.006187394015640577,0.04676219945557136,-0.01934423703254584,-0.019977416125787517,0.004254129774961868,0.3333333333333333,0.6666666666666666
中信保诚基金,观察池,观察池,,7,4,0.02693653227808812,0.0343470713869356,0.07430737742201446,0.02977756071904758,-0.020568113734394933,-0.0009515643566384568,0.003262103863775123,0.14285714285714285,0.75
兴业基金,观察池,观察池,,1,1,0.010464758845111666,0.010464758845111666,0.010464758845111666,0.031371854166278856,-0.02090709532116719,-0.015919634992356935,0.0008323085172894373,0.0,1.0
