基金管理人简称,evaluation_pool,return_observation_count,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,winsor_1_mean_contribution,winsor_5_mean_contribution,bootstrap_lower_95,bootstrap_upper_95,equal_weight_dynamic_excess,nav_weighted_dynamic_excess,equal_weight_three_asset_excess,nav_weighted_three_asset_excess,fund_positive_ratio,company_quarter_positive_ratio,worst_company_quarter_contribution,max_single_fund_observation_share,top_two_fund_observation_share,max_single_fund_absolute_contribution_share,formal_gate_reason,positive_threshold_count,positive_signal_count,credibility_grade,formal_rank
长信基金,正式评价,96,44,7,20,0.45454545454545453,0.31705234142220895,0.5993381680103802,-0.0007562755821598405,-0.0005132678506811724,-0.0007168414984362843,-0.00041227274833751916,-0.006031512024100972,0.00431983596682257,0.0004999205289262105,-0.009202291339518415,0.0024128530457626627,-0.010763516919440937,0.42857142857142855,0.45454545454545453,-0.009709580285891512,0.18181818181818182,0.36363636363636365,0.1869642304746593,通过,0,1,C级,11.0
富国基金,正式评价,115,50,9,22,0.44,0.3116219921125717,0.5769397197834315,-0.00035007852003564083,-0.0005792737615289343,-0.0006004914423477504,-0.0012280734480879197,-0.006312610907840832,0.006856851974593508,0.003523419835185458,-0.0022353824722602567,0.004606572573024331,-0.00032583458191331403,0.2222222222222222,0.4166666666666667,-0.01567767143093463,0.18,0.34,0.24614089698043215,通过,0,1,C级,12.0
国泰基金,正式评价,123,52,11,22,0.4230769230769231,0.2986805208350091,0.5580567462609698,-0.0020148992832941647,-0.0005460784895643336,-0.0020274974121886526,-0.001980013633932143,-0.009136446742326174,0.005458671221185884,-0.000458720792167747,0.0063915565859959805,0.0033097549001081185,0.00885937831583621,0.36363636363636365,0.3333333333333333,-0.018279681783869104,0.15384615384615385,0.28846153846153844,0.16670205379302425,通过,0,1,C级,13.0
融通基金,正式评价,87,36,7,16,0.4444444444444444,0.2954126874008022,0.6041893824430271,0.0013381835517070372,-0.0003446837421937288,0.0010776730890047397,0.000621380809396384,-0.0030696893214345977,0.008183097979797747,0.006249216339934525,0.00887435977039918,0.013358690847096694,0.015701370443686018,0.5714285714285714,0.5454545454545454,-0.005130818237762669,0.25,0.4722222222222222,0.2519132864654619,通过,3,4,B级,14.0
银华基金,正式评价,58,35,5,14,0.4,0.2555072885938059,0.5642729098710749,-0.0002034413735784986,-0.0006324568285324629,-0.0003509254323219255,-0.0008091034448927257,-0.007961953685062593,0.008984528925942243,-0.0008122861982088305,-0.001188148610433309,0.005262986643616242,0.006667577733456812,0.4,0.5,-0.015626042185859477,0.2571428571428571,0.4857142857142857,0.37705915379050653,通过,1,0,C级,15.0
中欧基金,正式评价,92,34,7,10,0.29411764705882354,0.1683463067042242,0.4616890979471443,-0.004286748271464829,-0.0037026350272907783,-0.004020373775058902,-0.0036157497840466975,-0.015455730498148282,0.002584986962804378,-0.00886601593744225,-0.006804783088598018,-0.00914713848277836,-0.007541842349717064,0.14285714285714285,0.25,-0.02829860117698471,0.23529411764705882,0.47058823529411764,0.21018064482244486,通过,0,0,C级,16.0
兴业基金,观察池,13,1,1,1,1.0,0.20654931437723745,1.0,0.002499004340843371,0.002499004340843371,0.002499004340843371,0.002499004340843371,,,-0.008842685883267592,-0.008437027447176965,-0.005156289325441419,-0.00664316620613905,1.0,1.0,0.002499004340843371,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,2,4,观察池,
东兴基金,观察池,11,9,1,8,0.8888888888888888,0.5650002944233439,0.9801091123614551,0.011508283119397123,0.010483881268077831,0.011321221234225349,0.010572973693538252,,,0.0057778274730113455,-0.007696143441206571,0.009361332916872753,-0.002229610878951333,1.0,0.8888888888888888,-0.0005617586770602224,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,5,观察池,
农银汇理基金,观察池,21,8,2,7,0.875,0.5291118177871464,0.9775825085499433,0.0077628298493034095,0.0008032684320566138,0.007606865884865536,0.0069830100271140415,,,0.011314148806318118,0.011296466808463666,0.02028940711710725,0.014149176596167606,1.0,0.8571428571428571,-0.012356981370271356,0.5,1.0,0.9277240367694455,切换观察<30；切换基金<5；收益观察<30,3,6,观察池,
浙商证券资管,观察池,13,8,1,7,0.875,0.5291118177871464,0.9775825085499433,0.002671885685745542,0.002204005966761918,0.002744522088280325,0.0030350676984194557,,,-0.015104977108387886,-0.011581005963504391,-0.015805171748170956,-0.013363968645762588,1.0,0.875,-0.00971912380648495,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,4,观察池,
